age,ot_hrs,attrition
22.8,2.0,0
41.9,1.1,1
26.0,1.2,0
42.6,4.3,0
38.0,0.0,1
37.5,1.4,0
46.1,1.5,0
22.1,0.5,0
39.1,0.6,1
48.3,0.7,0
39.4,5.5,0
37.2,5.1,0
50.3,0.0,0
25.0,0.3,0
42.1,0.2,1
37.2,2.2,0
43.8,5.8,0
24.6,2.0,0
30.3,2.1,0
44.8,2.5,0
32.9,1.1,0
23.7,0.4,0
36.8,4.5,0
26.9,3.6,1
25.9,2.2,0
33.7,0.9,0
22.8,2.0,1
29.9,1.4,0
31.9,0.8,0
26.6,0.0,1
40.0,4.5,0
39.1,1.8,1
29.1,1.4,0
31.2,2.9,1
44.3,3.7,0
23.4,1.8,1
36.9,1.2,1
23.9,3.7,1
38.5,1.8,1
22.6,5.0,0
46.5,1.0,0
29.1,3.7,1
30.2,5.8,1
31.3,3.9,0
42.4,1.0,1
22.4,1.1,0
45.7,4.3,1
39.0,3.5,0
37.0,0.5,1
41.5,3.6,0
42.6,2.1,0
33.7,0.2,0
33.8,0.3,0
35.1,3.0,0
29.9,0.2,0
23.5,4.2,1
26.2,4.6,1
38.3,2.3,1
42.0,2.6,1
27.4,5.1,1
40.0,0.7,1
45.1,6.1,0
31.0,4.5,1
46.2,5.9,0
22.3,5.0,1
41.4,0.6,1
28.1,0.7,0
23.2,2.4,0
48.3,1.3,0
38.9,2.7,1
